,Marca,Fecha,Toneladas
475,036 Ladysoft,2020-02-08,6455111.4176
476,038 Ok Pet,2021-04-14,359.964
477,012 Higienol,2021-06-05,7.861669
478,012 Higienol,2019-10-10,17.38902
479,036 Ladysoft,2020-02-02,93071.968
480,006 Nova,2020-04-10,0.018095
481,003 Noble,2021-06-16,47.333777
482,012 Higienol,2020-10-13,11.68045
483,006 Nova,2020-10-13,32.067611
484,037 Cotidian,2021-03-26,168862.9056
485,037 Cotidian,2020-09-21,206720.4
486,008 Babysec,2021-04-14,4797047.2778
487,003 Noble,2020-04-27,63.671737
488,001 Elite,2021-03-02,258052.337448
489,038 Ok Pet,2021-04-17,2687.022
490,001 Elite,2021-02-24,266156.253068
491,012 Higienol,2019-10-07,17.097582
492,012 Higienol,2021-06-02,8.562821
493,003 Noble,2021-06-19,47.242799
494,006 Nova,2020-10-10,17.948111
495,003 Noble,2019-10-24,57.199817
496,036 Ladysoft,2020-02-05,6023857.3712
497,008 Babysec,2020-08-16,176.0
498,036 Ladysoft,2021-04-04,737840.3648
499,008 Babysec,2020-02-12,4325070.752
500,012 Higienol,2021-06-11,10.533672
501,037 Cotidian,2020-01-30,129920.8288
502,006 Nova,2019-10-10,13.695591
503,037 Cotidian,2020-01-24,162841.5936
504,006 Nova,2020-04-13,29.668577
505,038 Ok Pet,2020-10-19,77145.228
506,012 Higienol,2020-12-07,14.509585
507,006 Nova,2019-10-16,12.720892
508,003 Noble,2020-12-18,64.094767
509,001 Elite,2019-12-31,135.01083
510,003 Noble,2021-06-22,52.308596
511,006 Nova,2021-06-05,31.773301
512,008 Babysec,2020-01-14,5130647.4456
513,003 Noble,2020-09-25,54.940829
514,012 Higienol,2021-03-13,9.057824
515,037 Cotidian,2021-02-19,176806.2976
516,006 Nova,2020-05-15,24.157616
517,006 Nova,2019-11-11,12.867556
518,012 Higienol,2020-09-11,9.752781
519,008 Babysec,2021-03-10,6910232.8156
520,012 Higienol,2020-03-09,14.001554
521,036 Ladysoft,2020-07-08,6453365.6128
522,001 Elite,2020-06-05,125.661122
523,001 Elite,2019-12-02,88.164638
524,036 Ladysoft,2020-07-02,5490993.096
525,008 Babysec,2020-07-18,3433428.5512
526,001 Elite,2021-01-23,1200865.807618
527,003 Noble,2020-09-28,78.696898
528,038 Ok Pet,2020-07-24,51390.036
529,008 Babysec,2020-01-17,5732950.0934
530,003 Noble,2020-09-22,67.841707
531,037 Cotidian,2021-02-16,165111.4464
532,038 Ok Pet,2021-03-13,4980.942
533,006 Nova,2019-11-08,12.602667
534,001 Elite,2019-12-05,100.912192
535,036 Ladysoft,2020-07-05,55379.6048
536,037 Cotidian,2021-02-22,184308.1152
537,012 Higienol,2020-09-08,11.718215
538,036 Ladysoft,2021-01-07,9540867.7952
539,012 Higienol,2020-03-06,14.545639
540,006 Nova,2020-05-18,24.535017
541,001 Elite,2019-11-29,119.469818
542,037 Cotidian,2019-12-29,3180.0
543,006 Nova,2020-05-12,25.623434
544,003 Noble,2020-03-23,39.014095
545,003 Noble,2021-05-21,50.784785
546,036 Ladysoft,2020-01-07,6806616.1232
547,012 Higienol,2020-03-15,0.778089
548,012 Higienol,2019-09-11,14.387781
549,001 Elite,2020-05-27,145.264347
550,001 Elite,2020-06-02,129.176534
551,006 Nova,2019-11-17,0.589769
552,012 Higienol,2021-05-07,9.344578
553,038 Ok Pet,2021-03-16,25202.88
554,012 Higienol,2021-05-04,8.795555
555,008 Babysec,2020-07-12,90001.9814
556,008 Babysec,2021-01-14,6776120.309
557,003 Noble,2019-09-28,43.542058
558,003 Noble,2019-09-22,2.226846
559,038 Ok Pet,2020-09-14,147605.76
560,037 Cotidian,2020-06-29,171115.7408
561,006 Nova,2021-01-05,28.305463
562,036 Ladysoft,2021-02-28,523156.44
563,037 Cotidian,2019-12-26,159280.4096
564,003 Noble,2020-03-26,60.514841
565,012 Higienol,2019-09-08,0.265661
566,037 Cotidian,2020-06-23,150895.9904
567,001 Elite,2020-05-30,133.389318
568,006 Nova,2019-11-14,12.471411
569,036 Ladysoft,2020-01-04,5759376.9568
570,038 Ok Pet,2021-03-19,4980.996
571,001 Elite,2020-12-02,24875.014869
572,036 Ladysoft,2020-01-10,6587216.8656
573,003 Noble,2021-05-18,52.11401
574,006 Nova,2021-01-08,44.15281
575,038 Ok Pet,2020-09-17,130634.712
576,003 Noble,2019-09-25,49.758353
577,008 Babysec,2021-01-17,161720.3412
578,038 Ok Pet,2021-03-22,4890.978
579,037 Cotidian,2020-06-26,109190.2592
580,012 Higienol,2020-11-02,8.185726
581,008 Babysec,2020-07-15,4778976.9744
582,008 Babysec,2020-01-11,3630496.2854
583,003 Noble,2020-03-29,0.855246
584,037 Cotidian,2019-12-23,86915.0464
585,012 Higienol,2020-03-12,17.246602
586,036 Ladysoft,2020-09-01,7006293.7072
587,037 Cotidian,2020-02-22,131496.7104
588,012 Higienol,2020-11-08,0.119394
589,006 Nova,2019-09-11,12.143081
590,001 Elite,2020-01-29,113.037605
591,037 Cotidian,2020-02-28,174014.048
592,003 Noble,2021-05-27,50.70647
593,012 Higienol,2019-09-17,16.366044
594,006 Nova,2021-05-13,37.128122
595,008 Babysec,2020-03-15,243305.3748
596,003 Noble,2020-05-20,66.18352
597,006 Nova,2021-05-07,27.09518
598,008 Babysec,2020-09-17,4156171.9684
599,006 Nova,2019-09-17,11.079905
600,001 Elite,2020-08-05,82.11604
601,003 Noble,2020-11-22,0.706938
602,036 Ladysoft,2021-03-06,6263737.3568
603,037 Cotidian,2020-08-29,210965.7952
604,006 Nova,2020-03-18,19.688842
605,001 Elite,2020-02-01,59.484127
606,003 Noble,2021-05-24,65.275823
607,036 Ladysoft,2020-08-29,6794815.824
608,037 Cotidian,2020-02-25,196988.2208
609,012 Higienol,2020-11-05,11.648726
610,003 Noble,2019-10-01,27.474267
611,012 Higienol,2019-09-14,12.976706
612,006 Nova,2020-11-05,41.548184
613,012 Higienol,2021-05-10,8.799686
614,006 Nova,2021-05-10,30.543386
615,003 Noble,2020-11-25,78.487453
616,008 Babysec,2020-03-12,5502063.9488
617,008 Babysec,2020-09-14,4501825.4106
618,037 Cotidian,2021-04-18,1983.904
619,003 Noble,2020-11-19,54.655631
620,006 Nova,2019-09-14,10.734992
621,012 Higienol,2020-05-06,16.664424
622,001 Elite,2020-08-02,1.343874
623,036 Ladysoft,2021-03-03,6548191.4576
624,008 Babysec,2020-09-08,4063882.7478
625,038 Ok Pet,2020-03-24,1380.996
626,036 Ladysoft,2021-04-27,6721796.2704
627,001 Elite,2021-01-26,2142103.38854
628,003 Noble,2020-05-29,69.381303
629,008 Babysec,2021-03-13,4617436.3286
630,006 Nova,2020-11-08,0.770774
631,036 Ladysoft,2020-09-07,7008572.2256
632,008 Babysec,2020-01-20,5263511.047
633,036 Ladysoft,2020-03-08,299511.0848
634,001 Elite,2019-12-08,2.896378
635,001 Elite,2021-02-01,776088.855061
636,037 Cotidian,2021-02-25,216453.1392
637,038 Ok Pet,2021-05-13,12810.96
638,037 Cotidian,2020-08-23,192.0
639,012 Higienol,2020-05-09,14.179116
640,006 Nova,2020-07-14,31.743406
