,Localidad,Fecha,Cantidad
421,AMAZONAS,2021-01-23,1188.17
422,AMAZONAS,2021-01-25,425.5
423,AMAZONAS,2021-01-26,1427.26
424,AMAZONAS,2021-01-27,12420.92
425,AMAZONAS,2021-01-28,124.73
426,AMAZONAS,2021-01-29,181.75
427,AMAZONAS,2021-01-30,241.38
428,AMAZONAS,2021-02-01,132.05
429,AMAZONAS,2021-02-02,637.65
430,AMAZONAS,2021-02-03,538.18
431,AMAZONAS,2021-02-04,290.5
432,AMAZONAS,2021-02-05,477.9
433,AMAZONAS,2021-02-06,1345.05
434,AMAZONAS,2021-02-08,1260.58
435,AMAZONAS,2021-02-09,1858.25
436,AMAZONAS,2021-02-10,961.2
437,AMAZONAS,2021-02-11,1319.0
438,AMAZONAS,2021-02-12,1022.88
439,AMAZONAS,2021-02-13,1942.25
440,AMAZONAS,2021-02-14,1197.0
441,AMAZONAS,2021-02-15,1199.48
442,AMAZONAS,2021-02-16,1028.3
443,AMAZONAS,2021-02-17,3118.32
444,AMAZONAS,2021-02-18,1378.39
445,AMAZONAS,2021-02-19,1211.1
446,AMAZONAS,2021-02-20,266.33
447,AMAZONAS,2021-02-22,883.13
448,AMAZONAS,2021-02-23,1194.71
449,AMAZONAS,2021-02-24,1310.5
450,AMAZONAS,2021-02-25,1831.27
451,AMAZONAS,2021-02-26,1072.27
452,AMAZONAS,2021-02-27,1444.9
453,AMAZONAS,2021-03-01,488.0
454,AMAZONAS,2021-03-02,1235.75
455,AMAZONAS,2021-03-03,1272.96
456,AMAZONAS,2021-03-04,522.0
457,AMAZONAS,2021-03-05,1204.13
458,AMAZONAS,2021-03-06,629.75
459,AMAZONAS,2021-03-08,1117.1
460,AMAZONAS,2021-03-09,1571.4
461,AMAZONAS,2021-03-10,1939.85
462,AMAZONAS,2021-03-11,560.28
463,AMAZONAS,2021-03-12,994.55
464,AMAZONAS,2021-03-13,1251.9
465,AMAZONAS,2021-03-15,480.1
466,AMAZONAS,2021-03-16,360.28
467,AMAZONAS,2021-03-17,737.42
468,AMAZONAS,2021-03-18,1252.5
469,AMAZONAS,2021-03-19,681.0
470,AMAZONAS,2021-03-20,989.0
